bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
1.16651,1.1675,1.16764,1.16631,1.1666,1.16758,1.16773,1.16639,2809
1.1675,1.16685,1.16786,1.1668,1.16758,1.16693,1.16796,1.16688,2151
1.16685,1.167,1.16726,1.1668,1.16693,1.16708,1.16735,1.16687,1261
1.167,1.16715,1.16732,1.16686,1.16708,1.16723,1.16739,1.16695,1520
1.16715,1.16722,1.16752,1.16695,1.16723,1.16731,1.16761,1.16703,1141
1.16722,1.16724,1.16726,1.16672,1.16731,1.16733,1.16736,1.16681,1540
1.16724,1.16713,1.16764,1.16712,1.16733,1.1672,1.16772,1.16719,1259
1.16713,1.16741,1.1676,1.16689,1.1672,1.16751,1.1677,1.16697,1244
1.16741,1.1678,1.16808,1.16741,1.16751,1.16787,1.16817,1.1675,1350
1.1678,1.16774,1.16794,1.16745,1.16787,1.16782,1.16802,1.16753,1190
1.16774,1.16755,1.16794,1.16739,1.16782,1.16764,1.16803,1.16746,1033
1.16755,1.16724,1.16781,1.16715,1.16764,1.16733,1.16788,1.16723,931
1.16724,1.16717,1.16736,1.16713,1.16733,1.16725,1.16745,1.16722,604
1.16717,1.16709,1.16717,1.16685,1.16725,1.16718,1.16725,1.16694,669
1.16709,1.16711,1.1672,1.16681,1.16718,1.16719,1.16728,1.1669,704
1.16711,1.16719,1.16736,1.16686,1.16719,1.16727,1.16743,1.16694,781
1.16719,1.16716,1.16729,1.16701,1.16727,1.16724,1.16738,1.16708,457
1.16716,1.16682,1.16725,1.16678,1.16724,1.16689,1.16734,1.16687,296
1.16682,1.16653,1.16692,1.16649,1.16689,1.16661,1.16699,1.16656,385
1.16653,1.16628,1.16656,1.16624,1.16661,1.16637,1.16663,1.16632,641
1.16628,1.1661,1.16635,1.16608,1.16637,1.16618,1.16642,1.16617,226
1.1661,1.1665,1.16665,1.16611,1.16618,1.16659,1.16674,1.16618,469
1.1665,1.16673,1.16681,1.16634,1.16659,1.16681,1.16689,1.16642,651
1.16673,1.1668,1.16689,1.16667,1.16681,1.16689,1.16698,1.16674,290
1.1668,1.16653,1.1668,1.1665,1.16689,1.16662,1.16688,1.16658,302
1.16653,1.16672,1.16674,1.16653,1.16662,1.16681,1.16683,1.16662,501
1.16672,1.16637,1.16673,1.16625,1.16681,1.16646,1.16682,1.16634,405
1.16637,1.1664,1.16664,1.16636,1.16646,1.16649,1.16672,1.16644,455
1.1664,1.16635,1.16644,1.16619,1.16649,1.16644,1.16653,1.16627,496
1.16635,1.16659,1.16666,1.16631,1.16644,1.16668,1.16675,1.1664,355
1.16659,1.16661,1.16679,1.16656,1.16668,1.1667,1.16687,1.16664,290
1.16661,1.16614,1.16661,1.16614,1.1667,1.16622,1.1667,1.16622,549
1.16614,1.16565,1.16614,1.16549,1.16622,1.16572,1.16622,1.16557,775
1.16565,1.16573,1.16589,1.16548,1.16572,1.16582,1.16597,1.16556,1070
1.16573,1.16559,1.16607,1.16559,1.16582,1.16568,1.16615,1.16567,778
1.16559,1.16573,1.16579,1.1656,1.16568,1.1658,1.16587,1.16568,287
1.16573,1.1658,1.16586,1.1657,1.1658,1.16587,1.16594,1.16577,233
1.1658,1.16588,1.16611,1.1658,1.16587,1.16596,1.16619,1.16589,487
1.16588,1.16578,1.16603,1.16576,1.16596,1.16585,1.1661,1.16585,575
1.16578,1.16594,1.16602,1.16576,1.16585,1.16601,1.16611,1.16585,395
1.16594,1.16596,1.1661,1.1659,1.16601,1.16604,1.16619,1.16598,330
1.16596,1.16608,1.16612,1.16582,1.16604,1.16616,1.16621,1.1659,240
1.16608,1.16618,1.16623,1.16591,1.16616,1.16626,1.16632,1.166,432
1.16618,1.16612,1.16625,1.16608,1.16626,1.1662,1.16633,1.16616,638
1.16612,1.16613,1.16621,1.1661,1.1662,1.1662,1.1663,1.16617,235
1.16613,1.16628,1.16633,1.16606,1.1662,1.16637,1.16641,1.16614,681
1.16628,1.16595,1.1663,1.16595,1.16637,1.16604,1.16639,1.16604,811
1.16595,1.16596,1.16599,1.16585,1.16604,1.16604,1.16608,1.16594,575
1.16596,1.16588,1.16599,1.16581,1.16604,1.16595,1.16608,1.16589,502
1.16588,1.16598,1.16612,1.16584,1.16595,1.16606,1.16619,1.16593,382
1.16598,1.16597,1.16606,1.16587,1.16606,1.16605,1.16614,1.16595,617
1.16597,1.16591,1.16601,1.16587,1.16605,1.166,1.16609,1.16594,440
1.16591,1.16588,1.16605,1.16584,1.166,1.16596,1.16614,1.16592,429
1.16588,1.16574,1.16596,1.16574,1.16596,1.16584,1.16605,1.16584,554
1.16574,1.16586,1.16587,1.16564,1.16584,1.16595,1.16596,1.16572,383
1.16586,1.16559,1.16586,1.16551,1.16595,1.16566,1.16595,1.1656,457
1.16559,1.16548,1.16575,1.16548,1.16566,1.16557,1.16584,1.16556,398
1.16548,1.16549,1.1655,1.16532,1.16557,1.16557,1.16559,1.1654,448
1.16549,1.16572,1.16574,1.16543,1.16557,1.1658,1.16582,1.16551,451
1.16572,1.16578,1.16585,1.16571,1.1658,1.16586,1.16594,1.16579,263
1.16578,1.16561,1.16579,1.16561,1.16586,1.16568,1.16587,1.16568,214
1.16561,1.16565,1.16565,1.16549,1.16568,1.16573,1.16574,1.16558,118
1.16565,1.16553,1.16566,1.16552,1.16573,1.16562,1.16574,1.16561,88
1.16553,1.16569,1.16574,1.16554,1.16562,1.16577,1.16583,1.16563,346
1.16569,1.16596,1.16599,1.16569,1.16577,1.16605,1.16607,1.16578,301
1.16596,1.16649,1.16653,1.16592,1.16605,1.16658,1.16661,1.16601,445
1.16649,1.16611,1.16657,1.16608,1.16658,1.1662,1.16667,1.16619,364
1.16611,1.16617,1.16626,1.16599,1.1662,1.16629,1.16636,1.16607,250
1.16617,1.16597,1.16621,1.16596,1.16629,1.16613,1.16632,1.16609,511
1.16597,1.16568,1.16612,1.16566,1.16613,1.16617,1.1663,1.16585,516
1.16568,1.16571,1.16571,1.16547,1.16617,1.16601,1.16603,1.16601,3
1.16571,1.16544,1.16546,1.16544,1.16601,1.16604,1.16604,1.16602,2
1.16544,1.16551,1.16551,1.16549,1.16604,1.16604,1.16604,1.16604,2
1.16551,1.1655,1.1655,1.1655,1.16604,1.16604,1.16604,1.16604,1
1.1655,1.16576,1.16576,1.16551,1.16604,1.16602,1.16604,1.16602,3
1.16576,1.16556,1.16556,1.16556,1.16602,1.16605,1.16605,1.16605,1
1.16556,1.16618,1.16618,1.16554,1.16605,1.16647,1.16648,1.16602,11
1.16618,1.16585,1.16598,1.16576,1.16647,1.16643,1.16647,1.16602,10
1.16585,1.16586,1.16586,1.16586,1.16643,1.16635,1.16635,1.16635,1
1.16586,1.16615,1.16616,1.16564,1.16635,1.16635,1.16651,1.16607,99
1.16615,1.16636,1.16636,1.16609,1.16635,1.16654,1.16658,1.16634,29
1.16636,1.16642,1.16644,1.16636,1.16654,1.16656,1.16659,1.16653,42
1.16642,1.16666,1.16667,1.16631,1.16656,1.16685,1.16693,1.16653,47
1.16666,1.16667,1.16678,1.16617,1.16685,1.16693,1.16706,1.16664,153
1.16667,1.1663,1.16668,1.16608,1.16693,1.16685,1.16702,1.16662,275
1.1663,1.16628,1.16629,1.16622,1.16685,1.16683,1.16684,1.16674,75
1.16628,1.1663,1.1663,1.16623,1.16683,1.16685,1.16685,1.16678,10
1.1663,1.16627,1.16628,1.16622,1.16685,1.16682,1.16682,1.16677,7
1.16627,1.16628,1.16646,1.16613,1.16682,1.16662,1.16683,1.16649,108
1.16628,1.16616,1.16648,1.16606,1.16662,1.1664,1.16681,1.1664,89
1.16616,1.16622,1.1663,1.16613,1.1664,1.16633,1.16651,1.16633,235
1.16622,1.16632,1.16637,1.16621,1.16633,1.16644,1.16649,1.16632,103
1.16632,1.16617,1.16632,1.16616,1.16644,1.16629,1.16643,1.16628,70
1.16617,1.16625,1.16626,1.16611,1.16629,1.16636,1.16639,1.16624,236
1.16625,1.16626,1.16628,1.16621,1.16636,1.16638,1.16639,1.16632,62
1.16626,1.16626,1.16627,1.16624,1.16638,1.16634,1.16639,1.16634,30
1.16626,1.16627,1.16629,1.16626,1.16634,1.16634,1.16638,1.16634,48
1.16627,1.1662,1.16627,1.1662,1.16634,1.16628,1.16637,1.16628,127
1.1662,1.16618,1.16627,1.16618,1.16628,1.16628,1.16635,1.16627,89
1.16618,1.16614,1.16619,1.16608,1.16628,1.16623,1.16629,1.16618,117
1.16614,1.16618,1.16619,1.16613,1.16623,1.16628,1.16628,1.16623,42
1.16618,1.1662,1.1662,1.16614,1.16628,1.16629,1.1663,1.16624,34
1.1662,1.16649,1.16649,1.16619,1.16629,1.16658,1.16658,1.16628,275
1.16649,1.16643,1.16653,1.16643,1.16658,1.16654,1.16664,1.16652,260
1.16643,1.16639,1.1665,1.16637,1.16654,1.16649,1.1666,1.16645,184
1.16639,1.16644,1.1665,1.16638,1.16649,1.16653,1.16659,1.16647,145
1.16644,1.16649,1.16654,1.16638,1.16653,1.16658,1.16663,1.16648,110
1.16649,1.16629,1.1665,1.16629,1.16658,1.16638,1.16659,1.16638,179
1.16629,1.16638,1.16638,1.16624,1.16638,1.16647,1.16647,1.16633,281
1.16638,1.1664,1.16651,1.16638,1.16647,1.16648,1.16661,1.16647,190
1.1664,1.16634,1.16641,1.1663,1.16648,1.16643,1.1665,1.16638,161
1.16634,1.16649,1.16656,1.16631,1.16643,1.16658,1.16664,1.1664,144
